ABBREV,DATA,YEAR,PUFID,URL
COND,Medical Conditions,1997,HC-018,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-018
CLNK,Linkage: Condition-Event Link,1997,HC-016I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-016I
RXLK,Linkage: RX-Event Link,1997,HC-016I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-016I
HH,Event File - Home Health,1997,HC-016H,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-016H
OB,Event File - Office-Based Medical Provider Visits,1997,HC-016G,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-016G
OP,Event File - Outpatient Visits,1997,HC-016F,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-016F
ER,Event File - Emergency Room Visits,1997,HC-016E,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-016E
IP,Event File - Hospital Inpatient Stays,1997,HC-016D,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-016D
OM,Event File - Other Medical Expenses,1997,HC-016C,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-016C
DV,Event File - Dental Visits,1997,HC-016B,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-016B
RX,Event File - Prescribed Medicines,1997,HC-016A,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-016A
PIT,Point-In-Time (1996-2019),1999,HC-013,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-013
FYC,Full-Year Consolidated File,1996,HC-012,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-012
CLNK,Linkage: Condition-Event Link,1996,HC-010I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-010I
RXLK,Linkage: RX-Event Link,1996,HC-010I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-010I
HH,Event File - Home Health,1996,HC-010H,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-010H
OB,Event File - Office-Based Medical Provider Visits,1996,HC-010G,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-010G
OP,Event File - Outpatient Visits,1996,HC-010F,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-010F
ER,Event File - Emergency Room Visits,1996,HC-010E,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-010E
IP,Event File - Hospital Inpatient Stays,1996,HC-010D,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-010D
OM,Event File - Other Medical Expenses,1996,HC-010C,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-010C
DV,Event File - Dental Visits,1996,HC-010B,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-010B 
RX,Event File - Prescribed Medicines,1996,HC-010A,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-010A
PIT,Point-In-Time (1996-2019),1998,HC-009,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-009
JOBS,Jobs File,1996,HC-007,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-007
COND,Medical Conditions,1996,HC-006R,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-006R
PIT,Point-In-Time (1996-2019),1997,HC-005,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-005
PIT,Point-In-Time (1996-2019),1996,HC-001,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-001
